address,area,price,longtitude,latitude
"Екатеринбург, ул. Евгения Савкова, д. 35",74.0,62162,56.789333,60.49
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",54.6,84799,56.812897,60.574702
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",41.1,77129,56.78633,60.646001
"Екатеринбург, ул. Академика Вонсовского, 21/2",85.0,87647,56.784886,60.547384
"Екатеринбург, ул. Ползунова/Краснофлотцев/Даниловская/Замятина, стр. 2",43.6,89450,56.901164,60.644277
"Екатеринбург, Железнодорожный район, микрорайон Вокзальный, Гражданская ул., 11",141.0,72340,56.850688,60.586416
"Екатеринбург, ул.Педагогическая/Гагарина/Вишневая/Мира/Библиотечная, стр. 48-1",45.2,86283,56.835042,60.655146
"Екатеринбург, ул. Азина, стр. 22",44.0,90682,56.854881,60.607607
"Екатеринбург, пр-т Космонавтов, д. 11, корп. 1.1",38.4,76042,56.866854,60.608111
"Екатеринбург, коттеджный пос. Карасьеозёрский-2, Малогородская ул., 4",96.0,83021,56.827128,60.407265
"Екатеринбург, ул. Краснолесья, 109",82.5,58182,56.790023,60.525942
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",74.6,63673,56.789471,60.481807
"Екатеринбург, Машинная ул., 44к2",32.2,108075,56.805313,60.628008
"Екатеринбург, Латвийская ул.",23.0,76957,56.79308,60.769646
"Екатеринбург, ул. Чкалова, стр. 22",89.3,73908,56.810369,60.577083
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской, 106",50.0,64000,56.861589,60.560131
"Екатеринбург, ул. Евгения Савкова, 29",41.5,67470,56.790965,60.487125
"Екатеринбург, ул. Юлиуса Фучика, 3",98.4,111789,56.798182,60.617426
"Екатеринбург, ул. Щербакова, 77к1",40.0,97500,56.777543,60.660887
"Екатеринбург, ул. Краснолесья, 24",43.0,67442,56.78314,60.545947
"Екатеринбург, ул. Николая Островского, 5",58.0,91379,56.799843,60.596217
"Екатеринбург, Ломоносова , 10",35.5,76028,56.897399,60.585886
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Учителей, 8",40.8,83088,56.863144,60.634099
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Восстания, 116",69.0,60725,56.90894,60.587818
"Екатеринбург, Чемпионов , 3",52.4,82061,56.748074,60.569672
"Екатеринбург, Бакинских комиссаров , 105",50.1,89820,56.90548,60.586874
"Екатеринбург, 40-летия Комсомола , 28",57.0,75439,56.827833,60.691312
"Екатеринбург, Кировградская , 50",69.1,79595,56.895447,60.585419
"Екатеринбург, Трамвайный пер. , 2 к 2",68.4,106725,56.86058,60.615423
"Екатеринбург, ул. Щербакова, 77к3",38.3,98695,56.776739,60.662315
"Екатеринбург, Суходольская ул., 47",90.0,59444,56.800981,60.495022
"Екатеринбург, Кировский район, микрорайон Пионерский, Боровая ул., 31",44.7,91723,56.864777,60.648157
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",43.6,59633,56.778889,60.701715
"Екатеринбург, Луганская ул., 6",47.7,85535,56.802105,60.635428
"Екатеринбург, ул. Блюхера, 97",20.0,111000,56.864827,60.666914
"Екатеринбург, Союзная ул., 4",36.0,110833,56.806875,60.607113
"Екатеринбург, ул Кузнечная, 83",51.2,90820,56.846415,60.621442
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Расточная ул., 31А",53.8,72472,56.880086,60.514982
"Екатеринбург, ул. Чемпионов, 5",60.0,77415,56.749737,60.565396
"Екатеринбург, ул. Водоёмная, стр. 13",51.0,81373,56.793962,60.648858
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Стачек, 4",60.4,59603,56.883951,60.633605
"Екатеринбург, ул. Азина, 57",70.0,105143,56.853179,60.599397
"Екатеринбург, ул. Щербакова, 74",59.0,66102,56.777518,60.663671
"Екатеринбург, ул. Анатолия Мехренцева, 9",37.0,71622,56.788973,60.532463
"Екатеринбург, ул. Евгения Савкова, д. 35",61.1,61375,56.789333,60.49
"Екатеринбург, ул. Чкалова, стр. 22",89.3,73908,56.810369,60.577083
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",60.0,70167,56.78633,60.646001
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 76",79.0,56329,56.787173,60.514102
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, ул. Калинина, 3",42.0,97595,56.889267,60.607212
"Екатеринбург, ул. Чемпионов, д. 4",28.2,81560,56.748918,60.567471
"Екатеринбург, Дорожная ул., 19",76.4,66754,56.773676,60.591267
"Екатеринбург, Свердловская обл, Екатеринбург, Завокзальный, ул. Летчиков, 7",32.0,61562,56.861796,60.576705
"Екатеринбург, пер. Широкий, стр. 2а",72.0,66694,56.783041,60.651293
"Екатеринбург, Свердловская обл, Екатеринбург, Вторчермет, ул. Братская, 27/3",84.0,53571,56.776142,60.596343
"Екатеринбург, Свердловская обл, Екатеринбург, Уктус, ул. Патриотов, 6",76.0,50658,56.782474,60.674981
"Екатеринбург, Свердловская обл, Екатеринбург, Вторчермет, ул. Братская, 27/1",84.8,73113,56.776419,60.597744
"Екатеринбург, Широкий пер., 2А",57.0,67772,56.783041,60.651293
"Екатеринбург, ул. Студенческая, д. 1, секц. 2.1-2.2",30.0,93333,56.857947,60.655649
"Екатеринбург, ул. Бажова, 166",95.0,55000,56.828803,60.630191
"Екатеринбург, ул. Рябинина, 21",62.0,59677,56.796294,60.510922
"Екатеринбург, ул. Азина, 27",96.3,79413,56.853966,60.608155
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Пехотинцев, 3к4",46.0,72826,56.872752,60.546441
"Екатеринбург, микрорайон Вторчермет, Чкаловский район, Екатеринбург, Свердловская область, Братская улица, 27к3",44.0,67045,56.776142,60.596343
"Екатеринбург, пр-т Академика Сахарова/ул. Вильгельма де Геннина/Тимофеева-Ресовского/Рябинина, стр. 26.4.2",28.8,71875,56.782213,60.521612
"Екатеринбург, ул. Чкалова, 258",72.0,68750,56.778692,60.529706
"Екатеринбург, ул. Филатовская/Мезенская/Латвийская/Логиновская, ЖК «Хрустальные ключи»",23.0,34783,56.800035,60.764983
"Екатеринбург, ул. Восточная, д. 31",40.5,91358,56.822927,60.641411
"Екатеринбург, ул. Чемпионов, 4",53.0,83019,56.748918,60.567471
"Екатеринбург, ул. Крауля/Рабочих/Красных Зорь/Лоцмановых, ЖК «Русь»",35.0,98571,56.831157,60.544456
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Таганская ул., 79",50.8,82677,56.906915,60.628296
"Екатеринбург, ул. Белинского, 177Ак3",44.0,110455,56.798251,60.639614
"Екатеринбург, ул. Вильгельма де Геннина, 37",40.0,82250,56.790536,60.518009
"Екатеринбург, мкр. Светлый, стр. 6",32.5,65538,56.780398,60.700529
"Екатеринбург, Россия, Екатеринбург, ул Цвиллинга, 58",30.2,104305,56.80654,60.627056
