address,area,price
"Екатеринбург, Свердловская область, Екатеринбург, район Ленинский, Анатолия Мехренцева ул",83.0,65060
"Екатеринбург, ул. 3-го Интернационала, стр. 1а",29.1,90500
"Екатеринбург, ул. Юмашева, 11",85.5,97076
"Екатеринбург, мкр. Светлый, стр. 6",34.3,65889
"Екатеринбург, Свердловская обл, Екатеринбург, Н.Сортировка, ул. Крупносортщиков, 12",57.6,57292
"Екатеринбург, ул. Евгения Савкова, 8",51.2,70312
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",109.0,80275
"Екатеринбург, ул. Павлодарская, жилой дом",62.5,55984
"Екатеринбург, Свердловская область, Екатеринбург, район Завокзальный, Летчиков ул, 7",33.0,77273
"Екатеринбург, ул. Большакова, д. 147",54.6,104000
"Екатеринбург, ул. Лётчиков, 7",25.0,70000
"Екатеринбург, ул. Вайнера, 60",85.5,107602
"Екатеринбург, Свердловская обл, Екатеринбург, Широкая Речка, ул. Евгения Савкова, 35/2",21.0,86667
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Данилы Зверева, 7Б",61.8,70550
"Екатеринбург, ул. Рябинина, 18",50.7,55917
"Екатеринбург, ул. Рябинина, 21",80.0,63750
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Красных Командиров, 21",93.0,59140
"Екатеринбург, ул. Чкалова, стр. 22",93.1,81525
"Екатеринбург, Свердловская область, Екатеринбург, район Ленинский, Шейнкмана ул, 90",52.0,144231
"Екатеринбург, ул. Чемпионов, 4",32.0,95938
"Екатеринбург, ул. Колмогорова, 73к3",58.2,96220
"Екатеринбург, Кировский район, микрорайон Втузгородок, Студенческая ул., 80",27.0,96296
"Екатеринбург, ул. Крестинского, 49к2",70.6,75071
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",28.0,90514
"Екатеринбург, микрорайон Академический, ул. Павла Шаманова, 26",57.8,65727
"Екатеринбург, ул. Бахчиванджи, д. 12а",38.9,54499
"Екатеринбург, Московская ул., 75",38.0,128947
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 31",56.0,87500
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской, 108",42.0,65714
"Екатеринбург, Базовый пер., 54",57.0,63158
"Екатеринбург, ул. Николая Островского, стр. 1",57.8,77855
"Екатеринбург, мкр. Светлый, стр. 7",44.0,64136
"Екатеринбург, пр-т Ленина, 8",80.7,102398
"Екатеринбург, ул. Краснолесья, 103",81.4,63268
"Екатеринбург, микрорайон Академический, ул. Павла Шаманова, 44",40.0,72500
"Екатеринбург, Свердловская область, Екатеринбург, район Верх-Исетский, Евгения Савкова ул, 31",57.0,63158
"Екатеринбург, Свердловская область, Екатеринбург, район Центр, Степана Разина ул, 2",57.6,104167
"Екатеринбург, Свердловская область, Екатеринбург, район Академический, Павла Шаманова ул, 60",60.0,61667
"Екатеринбург, пр-т Космонавтов, 11",40.6,81281
"Екатеринбург, Красный пер., 5к1",69.0,123188
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Сызранский пер, 15",42.0,76190
"Екатеринбург, ул. Краснолесья, 135",82.3,66829
"Екатеринбург, ул. Евгения Савкова, 15",48.0,62479
"Екатеринбург, Свердловская область, Екатеринбург, микрорайон УНЦ",49.4,67743
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",99.8,75050
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Старых Большевиков, 3В",35.1,81481
"Екатеринбург, ул. Бакинских Комиссаров, 97",81.6,75980
"Екатеринбург, Октябрьский район, микрорайон Лечебный, Волчанский пер., 2А",45.0,66222
"Екатеринбург, ул. Готвальда",28.9,91126
"Екатеринбург, Чкаловский район, микрорайон Солнечный",59.0,69000
"Екатеринбург, пос. Совхозный",49.1,75356
"Екатеринбург, Октябрьский район, микрорайон Птицефабрика, Варшавская ул., 38",43.3,49654
"Екатеринбург, ул. Белинского, д. 163б",106.6,73500
"Екатеринбург, ул. Бакинских Комиссаров, 173",46.0,71522
"Екатеринбург, ул. Маяковского, 8",76.0,62763
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 37",64.0,57266
"Екатеринбург, ул. Вильгельма де Геннина, 42",60.0,58667
"Екатеринбург, ул. Рябинина, 18",81.0,55173
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",80.4,66667
"Екатеринбург, ул. Чкалова, стр. 22",104.7,104967
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 76",79.0,56329
"Екатеринбург, Павлодарская ул., 48",54.9,74681
"Екатеринбург, ул. Верхнеуфалейская/Ручейная/Евгения Савкова/Тенистая, стр. 4",69.3,57758
"Екатеринбург, ул.Стачек, д. 68",68.8,94477
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Менделеева, 18",83.0,68072
"Екатеринбург, Верх-Исетский район, микрорайон Широкая Речка, ул. Соболева, 19",40.1,74813
"Екатеринбург, ул. Шейнкмана",73.4,133515
"Екатеринбург, мкр. Светлый, стр. 7",29.0,66413
"Екатеринбург, ул. Малышева, 42А",36.0,150000
"Екатеринбург, Кировский район, микрорайон Втузгородок, Библиотечная ул., 43",92.0,85761
"Екатеринбург, ул. Евгения Савкова, д. 35",82.1,59927
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Миасская, 12",37.0,93243
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Мельникова, 27",65.0,122923
"Екатеринбург, Совхозная , 4",69.2,73699
"Екатеринбург, 40-летия Комсомола , 32г",40.1,68828
"Екатеринбург, Заводская , 73",92.0,73587
"Екатеринбург, Инженерная , 17",43.4,45853
"Екатеринбург, Светлый Микрорайон , 5",44.0,75000
"Екатеринбург, Гастелло , 25",37.1,86253
"Екатеринбург, Рутминского , 4",59.6,73658
"Екатеринбург, Шейнкмана , 90",84.0,98810
"Екатеринбург, Пехотинцев , 4 к 1",62.1,70853
"Екатеринбург, проспект Академика Сахарова , 29",82.6,62954
"Екатеринбург, ул. Блюхера, д. 97",66.3,66214
"Екатеринбург, ул. Рябинина, 29",38.0,71053
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Анатолия Мехренцева, 5",38.0,78921
"Екатеринбург, г. Екатеринбург, ул. Широкореченская, 76",33.0,65152
"Екатеринбург, Российская Федерация, Свердловская обл, г Екатеринбург, ул Куйбышева, 159, корп.а",33.0,77273
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Ирбитская, 8",70.0,93857
"Екатеринбург, ул. Лучистая, д. 4",57.9,74266
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Бахчиванджи, 22а",24.1,86722
"Екатеринбург, Верх-Исетский б-р, ЖК «Дом на бульваре»",106.0,122642
"Екатеринбург, г. Екатеринбург, ул. Сакко и Ванцетти, д. 47, ЖК ""Палладиум""",110.0,119818
"Екатеринбург, ул. Татищева, 179",60.0,78333
