address,price,longitude,latitude
"Санкт-Петербург, проспект Ветеранов, 55",106643,30.235927,59.839769
"Санкт-Петербург, Будапештская улица, 35к2",96591,30.373172,59.857997
"Санкт-Петербург, Московский район, муниципальный округ Московская Застава",209607,30.323854,59.885359
"Санкт-Петербург, Гаккелевская улица, 33к1",148181,30.258726,60.005185
"Санкт-Петербург, Дунайский проспект, 53к2",116492,30.419094,59.842449
"Санкт-Петербург, Малая Разночинная улица, 10",173112,30.289664,59.958778
"Санкт-Петербург, Северный проспект, 77к4",120748,30.413829,60.018889
"Санкт-Петербург, Дальневосточный проспект, 25к1",120270,30.453328,59.904058
"Санкт-Петербург, Сестрорецк, жилой комплекс Русские Сезоны",194930,29.954799,60.114082
"Санкт-Петербург, Ленинский проспект, 161к2",127901,30.317036,59.850784
"Санкт-Петербург, Тележная улица, 26-28",145294,30.376711,59.925439
"Санкт-Петербург, Белоостровская улица, 8",159209,30.321267,59.986088
"Санкт-Петербург, Дальневосточный проспект, 25к1",125000,30.453328,59.904058
"Санкт-Петербург, улица Марата, 48",144118,30.351325,59.924104
"Санкт-Петербург, Московский проспект, 65к4",238431,30.315751,59.907451
"Санкт-Петербург, улица Декабристов, 13",132128,30.303184,59.92832
"Санкт-Петербург, Большой проспект Петроградской стороны, 46/1",206349,30.30136,59.959512
"Санкт-Петербург, Кременчугская улица",196905,30.373432,59.92037
"Санкт-Петербург, Московский проспект, 148",115248,30.320467,59.885544
"Санкт-Петербург, Комендантский проспект, 62",133705,30.22371,60.037072
"Санкт-Петербург, Верейская улица, 54",173000,30.329774,59.912734
"Санкт-Петербург, посёлок Парголово, Парнасная, 1 к 1",112500,30.319129,60.076008
"Санкт-Петербург, посёлок Бугры, Тихая улица, 1",96104,30.407442,60.075788
"Санкт-Петербург, Крыленко ул., д. 1, корп. 1",118510,30.450202,59.89255
"Санкт-Петербург, Мурино, Воронцовский бульвар, 23/11",76000,30.428382,60.068183
"Санкт-Петербург, набережная реки Каменки, 11к2",124020,30.27566,60.056975
"Санкт-Петербург, Херсонская улица, 6/13",143931,30.37928,59.929177
"Санкт-Петербург, Исполкомская улица, 12",203488,30.380861,59.927987
"Санкт-Петербург, Комендантский проспект, 60к1",126706,30.225614,60.035351
"Санкт-Петербург, Ленинский проспект, 53к1",91141,30.169721,59.863093
"Санкт-Петербург, Дунайский проспект, 7к7",134146,30.332478,59.826302
"Санкт-Петербург, набережная реки Каменки, 11к2",97110,30.27566,60.056975
"Санкт-Петербург, проспект Маршала Жукова, 36к1",144769,30.224815,59.853211
"Санкт-Петербург, улица Щербакова, 6",108514,30.298477,60.027817
"Санкт-Петербург, Пушкинский район, территория Гуммолосары, участок 72",114390,30.417872,59.690272
"Санкт-Петербург, Каменноостровский проспект, 16",117059,30.317341,59.959395
"Санкт-Петербург, улица Сикейроса, 21к3",125397,30.340266,60.034209
"Санкт-Петербург, Приморский район, муниципальный округ Коломяги, жилой комплекс Легенда Комендантского",143717,30.227438,60.033225
"Санкт-Петербург, Октябрьская набережная, 44",132143,30.447965,59.894102
"Санкт-Петербург, улица Лидии Зверевой, 3к3",123276,30.253911,60.039737
"Санкт-Петербург, Институтский проспект, 16к1",226868,30.346411,60.002382
"Санкт-Петербург, проспект Солидарности, 7к1",114500,30.489297,59.923685
"Санкт-Петербург, Петергофское шоссе, 84к19",109418,30.108079,59.845962
"Санкт-Петербург, проспект Энгельса, 115к1",135714,30.326262,60.039643
"Санкт-Петербург, Василеостровский район, муниципальный округ Морской, жилой комплекс Голден Сити",121234,30.19411,59.941164
"Санкт-Петербург, Купчинская улица, 34к1",140271,30.398576,59.827021
"Санкт-Петербург, Суздальское шоссе, 12",104220,30.289655,60.06311
"Санкт-Петербург, городской посёлок Янино-1, Голландская улица, 5",72977,30.577251,59.950501
"Санкт-Петербург, Большая Конюшенная улица, 5",176829,30.323863,59.940294
"Санкт-Петербург, Петергофское шоссе, 84к19",109418,30.108079,59.845962
"Санкт-Петербург, Расстанная улица, 14к1",154043,30.348585,59.907063
"Санкт-Петербург, проспект Героев, 31",134413,30.152653,59.858787
"Санкт-Петербург, Купчинская улица, 34к1",140271,30.398576,59.827021
"Санкт-Петербург, посёлок Парголово, Толубеевский проезд, 24",98214,30.352034,60.079963
"Санкт-Петербург, Лиговский проспект",149951,30.348064,59.911543
"Санкт-Петербург, Звёздная улица, 18",135484,30.365518,59.836699
"Санкт-Петербург, Кондратьевский проспект, 83к1",123397,30.398684,59.982694
"Санкт-Петербург, городской посёлок Янино-1, Голландская улица, 3",65108,30.576191,59.948293
"Санкт-Петербург, Конная улица, 10",199833,30.375283,59.928916
"Санкт-Петербург, Ярославский проспект, 66к1",143511,30.316057,60.025107
"Санкт-Петербург, Фрунзенский район, муниципальный округ Волковское, жилой комплекс Вало, ул. Салова, дом 61, лит. А",114150,30.368554,59.885142
"Санкт-Петербург, площадь Конституции, 1к2",183750,30.300615,59.850305
"Санкт-Петербург, Ярославский проспект, 14",161538,30.320611,60.012692
"Санкт-Петербург, Барочная улица, 4АД",290584,30.287481,59.965822
"Санкт-Петербург, Сестрорецк, улица Николая Соколова, 31",120690,30.005249,60.052061
"Санкт-Петербург, Арцеуловская аллея, 23к1",128000,30.224716,60.042415
"Санкт-Петербург, 10-я Красноармейская улица, 14",196366,30.299761,59.912788
"Санкт-Петербург, улица Беринга, 8",137209,30.245826,59.936931
"Санкт-Петербург, Пушкинский район, территория Гуммолосары, участок 72",113310,30.417872,59.690272
"Санкт-Петербург, проспект Юрия Гагарина, 26к8",111364,30.34439,59.855263
"Санкт-Петербург, Московский район, муниципальный округ Московская Застава",191176,30.323854,59.885359
"Санкт-Петербург, улица Шевченко, 17",144318,30.246078,59.934952
"Санкт-Петербург, Крестовский проспект, 26",593333,30.26276,59.967223
"Санкт-Петербург, проспект Космонавтов, 65к6",150370,30.35578,59.837341
"Санкт-Петербург, Мурино, Воронцовский бульвар, 12",105000,30.422471,60.057967
"Санкт-Петербург, Парашютная улица, 44к2",127168,30.249465,60.02984
"Санкт-Петербург, улица Лётчика Пилютова, 23",77397,30.139457,59.838114
"Санкт-Петербург, Малая Разночинная улица, 10",242378,30.289664,59.958778
"Санкт-Петербург, переулок Ульяны Громовой, 8Б",147059,30.362464,59.934312
"Санкт-Петербург, проспект Культуры, 13",102045,30.373639,60.040573
"Санкт-Петербург, Сестрорецк, жилой комплекс Русские Сезоны",176768,29.954799,60.114082
"Санкт-Петербург, Купчинская улица, 17к1",100693,30.386853,59.838051
"Санкт-Петербург, Наличная улица, 26к1",147484,30.231373,59.9407
"Санкт-Петербург, Белоостровская улица, 8",132563,30.321267,59.986088
"Санкт-Петербург, проспект Тореза, 96",139970,30.333628,60.018255
"Санкт-Петербург, Политехническая улица, 6",108453,30.356948,59.993293
"Санкт-Петербург, Адмиралтейский район, муниципальный округ Измайловское",238438,30.308179,59.907501
