address,price
"Екатеринбург, микрорайон Уктус",103722
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Ползунова, 34И",53082
"Екатеринбург, улица Бебеля, 126",75500
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",140953
"Екатеринбург, Рощинская улица, 74",54201
"Екатеринбург, улица Чемпионов, 3",53559
"Екатеринбург, микрорайон Автовокзал",109868
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Братская улица, 3",66410
"Екатеринбург, улица Вайнера, 66",81686
"Екатеринбург, Верх-Исетский район, жилой комплекс Меридиан",65800
"Екатеринбург, Цветоносная улица, 17/1",62300
"Екатеринбург, Орджоникидзевский район, бульвар Культуры, 26",60264
"Екатеринбург, улица Ткачей, 12",97820
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Сулимова, 3",76800
"Екатеринбург, улица Куйбышева, 78",89355
"Екатеринбург, Чкаловский район, микрорайон Химмаш, улица Бородина, 6А",53721
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",120755
"Екатеринбург, Латвийская улица, 37",72619
"Екатеринбург, Московская улица, 35",70070
"Екатеринбург, Алтайская улица, 70",61053
"Екатеринбург, Дорожная улица, 4Ж",70720
"Екатеринбург, улица Чкалова, 252",72059
"Екатеринбург, улица Владимира Высоцкого, 40к2",64583
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",82000
"Екатеринбург, Космонавтов, 3",59562
"Екатеринбург, Чкаловский район, микрорайон Рудный, Дошкольная улица, 1",50647
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",79398
"Екатеринбург, улица Мельникова, 27",129496
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Донская улица, 50",49563
"Екатеринбург, улица Новгородцевой, 15",88589
"Екатеринбург, улица Готвальда, 6к2",70044
"Екатеринбург, Самолётная улица, 1",72222
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",62721
