address,area,price,longtitude,latitude
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",119.0,156469,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",49.4,133206,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",114.3,172533,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",42.2,135793,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",54.6,129706,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",48.7,132666,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",45.7,127650,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",64.0,122146,59.987749,30.334382
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",44.2,138725,59.987749,30.334382
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Бадаева ул, 8 к.3, Невский",76.0,135526,59.9171,30.446744
"Санкт-Петербург, ул. Школьная, 2 оч.",48.4,93247,59.988874,30.298845
"Санкт-Петербург, пр-т Московский, уч. 108",25.4,177808,59.893493,30.320099
"Санкт-Петербург, ул. Яхтенная, д. 28",35.3,148442,60.000726,30.221482
"Санкт-Петербург, 196211, Санкт-Петербург г, Космонавтов пр-кт, дом № 23, корпус 3",32.5,175385,59.859768,30.345243
"Санкт-Петербург, Россия, Санкт-Петербург, улица Маршала Казакова, 70к1",37.5,103973,59.866689,30.175012
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 2",51.3,116304,60.036474,30.226216
"Санкт-Петербург, Петровский пр-т, стр. 20 C",80.1,174963,59.958971,30.26249
"Санкт-Петербург, ул. Полевая Сабировская, д. 45а, лит. А",90.4,100022,59.994751,30.275237
"Санкт-Петербург, ул. Глухарская, уч. 29",35.3,134847,60.035342,30.232028
"Санкт-Петербург, пр-т Металлистов, д. 117",58.1,114932,59.97599,30.386745
"Санкт-Петербург, Плесецкая ул.",40.8,102475,60.036474,30.226216
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",22.0,124691,59.934695,30.208681
"Санкт-Петербург, пр-т Большевиков, стр. 1",21.0,86418,59.91894,30.470037
"Санкт-Петербург, ул. Днепропетровская, д. 65",83.2,127046,59.909883,30.356346
"Санкт-Петербург, пос. Шушары, территория Ленсоветовский, 13",54.0,77778,59.761223,30.468195
"Санкт-Петербург, Дунайский пр-т, 5к5",36.0,127778,59.828889,30.331113
"Санкт-Петербург, Санкт-Петербург, Плесецкая улица",37.2,104112,60.036474,30.226216
"Санкт-Петербург, пр-т Обуховской Обороны, 138к2",42.4,127358,59.845785,30.484715
"Санкт-Петербург, ул. Земледельческая, жилые дома",55.1,119319,59.990098,30.329639
"Санкт-Петербург, пр-т Московский, уч. 108",26.2,172089,59.893493,30.320099
"Санкт-Петербург, Санкт-Петербург, Республиканская улица, 24к1",68.0,191176,59.933988,30.413964
"Санкт-Петербург, ул. Школьная, 2 оч.",51.8,93248,59.988874,30.298845
"Санкт-Петербург, пос. Шушары, территория Ленсоветовский, 13",52.1,70000,59.761223,30.468195
"Санкт-Петербург, ул. Днепропетровская, д. 65",83.2,127046,59.909883,30.356346
"Санкт-Петербург, Санкт-Петербург, Басков пер, 2",81.3,264453,59.939767,30.353184
"Санкт-Петербург, пр-т Большой Сампсониевский, уч. 3, корп. 4",76.0,130395,59.957354,30.343914
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Магнитогорская ул, 3 корп.2, Красногвардейский",37.0,215946,59.936201,30.417387
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Новоколомяжский пр-кт, 12 корп. 1, Приморский",88.0,104545,60.030771,30.295126
"Санкт-Петербург, Россия, Санкт-Петербург, Санкт-Петербург, Шуваловский пр-кт, 41 корп. 1, Приморский",45.0,116667,60.030052,30.241434
"Санкт-Петербург, ул. Студенческая, д. 24А, корп. 1, стр. 1",34.7,162824,59.994652,30.323162
"Санкт-Петербург, Малый пр-т Васильевского острова, 63/14",63.9,160407,59.938725,30.243913
"Санкт-Петербург, Шуваловский пр-т, 41к1",108.0,106019,60.030052,30.241434
