longtitude,latitude
60.033724,30.450094
60.031207,30.226126
59.819024,30.349294
59.904302,30.47213
59.979561,30.507937
60.057164,30.44254
59.957584,30.405511
59.831087,30.545037
59.892067,30.366605
60.056571,30.437931
60.039589,30.224141
59.97599,30.386745
59.907437,30.483359
60.069687,30.318051
59.842761,30.113918
59.823448,30.349285
59.844081,30.108366
59.995638,30.199572
59.679066,30.438183
60.036474,30.226216
59.868157,30.501352
60.060312,30.423145
60.033576,30.224779
59.907437,30.432622
60.027467,30.256876
60.057406,30.431221
59.896436,30.494256
59.899072,30.495989
59.947171,29.965211
60.018713,30.467117
