address,area,price,longtitude,latitude
"Москва, пос. Московский, дер. Румянцево, д. 2, вл. 17Е",99.2,121326,55.633963,37.425468
"Москва, Кутузовский пр-т, вл. 12, стр. 19",95.6,575314,55.74904,37.558059
"Москва, ул. Большая Полянка",80.0,125000,55.736164,37.619432
"Москва, пос. Коммунарка, ул. Потаповская Роща, 2к1",37.3,182306,55.545452,37.493865
"Москва, Янтарный пр.",78.0,165385,55.869738,37.684793
"Москва, Люберцы, Вертолётная ул., 24",30.8,133117,55.703008,37.966298
"Москва, пр-т Вернадского, 97к3",148.4,235849,55.667122,37.490245
"Москва, Рождественская ул., 21к2",23.0,139130,55.704874,37.916927
"Москва, Москва, Замоскворецкая линия, метро Белорусская",45.7,365000,55.777388,37.582206
"Москва, ул. Сергея Макеева, 9",47.0,447600,55.761558,37.549067
"Москва, ул. Автозаводская, стр. 17",38.1,293822,55.704737,37.654349
"Москва, ул. Петра Алексеева, вл. 12, блок-секция 4",36.6,215552,55.717006,37.428791
"Москва, ул. Лобачевского/платформа «Матвеевская», стр. 1",65.7,238750,55.664274,37.506684
"Москва, Россия, Москва, Щукинская, Живописная улица, 21А",122.7,366748,55.793348,37.448581
"Москва, Россия, Москва, Баррикадная, улица Красная Пресня, 7",116.0,344828,55.760246,37.573492
"Москва, Россия, Москва, Ясный проезд, 25к2",39.0,192308,55.879263,37.61821
"Москва, ул. Сергея Макеева, вл. 9",45.3,455100,55.761558,37.549067
"Москва, Москва, Рязанский пр-кт, 2/1к2Б",62.8,200637,55.72887,37.739555
"Москва, ул. Василия Ощепкова, 1с1",35.4,152747,55.554791,37.462694
"Москва, ул. Илимская, вл. 3/5, стр. 9.1",76.8,123000,55.891083,37.568524
"Москва, ул. Илимская, вл. 3/5, стр. 7.1",72.1,123000,55.891083,37.568524
"Москва, Шелепихинское ш.",58.0,297155,55.758412,37.522962
"Москва, ул. Амурская, вл. 3",38.5,210390,55.808478,37.758797
"Москва, Шлюзовая наб., 2А",45.6,430178,55.730948,37.64401
"Москва, Россия, Москва, Москва, ЦАО, ул Ходынская, 2, стр.1",90.0,343889,55.770304,37.564608
"Москва, жилой комплекс Скандинавия, 4.2",39.6,159091,55.554695,37.513916
"Москва, Россия, Москва, Октябрьское поле, улица Маршала Тухачевского, 37/21",127.1,409127,55.78401,37.470985
"Москва, Россия, Москва, Молодежная, улица Толбухина, 11к2",207.0,425121,55.721772,37.398383
"Москва, Хорошевское ш., вл. 25",72.1,316227,55.777049,37.526843
"Москва, Россия, Москва, Белорусская, Большая Грузинская улица, 69",115.0,582609,55.77396,37.586293
"Москва, Россия, Москва, Тропарево, проспект Вернадского, 92к1",90.0,444444,55.655209,37.475935
"Москва, Россия, Москва, Фили, Филевский Парк, Береговой проезд, 5к1",67.4,318991,55.7559,37.506675
"Москва, Россия, Москва, Октябрьское поле, Хорошево-Мневники, Карамышевская набережная, 2А",50.5,267327,55.769135,37.494521
"Москва, пр-д Шмитовский, вл. 39, корп. 2",30.0,310000,55.754618,37.524058
"Москва, Огородный пр-д, вл. 20",93.2,176800,55.821871,37.593659
"Москва, пос. Московский, дер. Румянцево, д. 2, вл. 17Е",39.5,146818,55.633963,37.425468
"Москва, ул. Берзарина, вл. 30",35.8,231671,55.790712,37.474444
"Москва, ул. Бочкова, вл. 11А, корп. 1",43.8,213951,55.810405,37.62634
"Москва, Хорошевское ш., вл. 25",48.2,302905,55.777049,37.526843
"Москва, пос. Московский, дер. Румянцево, д. 3, вл. 17Е",38.7,145835,55.633963,37.425468
"Москва, б-р Андрея Тарковского, 6",104.0,173077,55.627265,37.342427
"Москва, пос. Московский, дер. Румянцево, д. 1, вл. 17Е",84.8,126381,55.633963,37.425468
"Москва, Москва, Юго-Западный административный округ, Ломоносовский район, жилой комплекс Версис",85.8,249883,55.682031,37.552714
"Москва, б-р Ореховый, вл. 24, корп. 2, стр. 1",21.0,254762,55.613107,37.742977
"Москва, Московская область, г. Люберцы, Барыкина ул, 8",40.0,115000,55.708029,37.956704
"Москва, Авиационная ул., 79Б",212.0,240566,55.80826,37.448276
"Москва, ул. Лобачевского/платформа «Матвеевская», стр. 1",50.7,253070,55.664274,37.506684
"Москва, Россия, Москва, поселение Московский, Киевское шоссе, 23-й километр, 14к1",39.0,179487,55.633373,37.417832
"Москва, Московская область, город Люберцы, микрорайон Зенино ЖК Самолёт, улица Вертолетная, дом 4, корпус 1",38.0,121053,55.707958,37.959732
"Москва, Москва, Беломорская ул, 11к1, Белый Парк 2",91.0,209890,55.865152,37.472081
"Москва, пр-д Тюменский, вл. 3-5",22.9,248140,55.811735,37.740722
"Москва, Москва, Мосфильмовская улица, 74Б",77.0,266234,55.711108,37.504708
"Москва, Мосфильмовская ул., 88к2с5",75.5,476821,55.704935,37.492105
"Москва, пр-т Волгоградский, вл. 32/3, стр. 7",87.7,152680,55.721087,37.694836
"Москва, ш. Ленинградское, вл. 58",34.9,237200,55.839522,37.482879
"Москва, Дмитровское ш., вл. 107, корп. 2",116.2,147307,55.879707,37.541889
"Москва, Москва, Цимлянская ул, 3к1",46.2,216017,55.670844,37.775433
"Москва, Москва, Рязанский пр-кт, 2/1к2А",58.5,186325,55.729382,37.739276
"Москва, Москва, Маршала Тухачевского ул, 37/21",107.0,242991,55.78401,37.470985
"Москва, Россия, Москва, Верхние Лихоборы, Бескудниковский, Бескудниковский бульвар, 6к4",82.0,202439,55.858852,37.564527
"Москва, Россия, Москва г, Остроумовская Б. ул, д. 10, корп. 2",124.8,360577,55.795474,37.689878
"Москва, Дмитровское шоссе, вл. 107, корп. 3",58.5,204686,55.880945,37.54118
"Москва, Михневская ул., 8",59.0,157627,55.579688,37.671085
"Москва, Москва, Замоскворецкая линия, метро Белорусская",85.1,342145,55.777388,37.582206
"Москва, Москва, улица Архитектора Щусева, 1",70.0,242857,55.699943,37.637183
"Москва, Люберцы, ул. Дружбы, 7/1",37.0,127027,55.702703,37.963541
